#weight  minuslogpost      logGnu      logA         ns  theta_MC_100       ombh2      omch2         tau   A_planck        Gnu            As        H0     omegam   omegamh2   omega_de        YHe        Y_p     DHBBN       zre     sigma8       s8h5  s8omegamp5  s8omegamp25         A     clamp       age     rdrag  chi2__CMB  minuslogprior  minuslogprior__0      chi2  chi2__planck_2018_lowl.TT  chi2__planck_2018_lowl.EE  chi2__planck_2018_highl_plik.TTTEEE_lite  chi2__planck_2018_lensing.clik
     12     569.66824 -0.68076568 2.9242688 0.91438582     1.0484838 0.022752242 0.11914601 0.068936968 0.99740722 0.20856159 1.8620605e-09 71.054091  0.2810599 0.14189825 0.71885724 0.24553973 0.24686677 2.5174544 9.0045203 0.77880149 0.92391545  0.41288225   0.56705671 1.8620605  1.622243 13.504603 146.90297  1159.5987     -10.131119        -10.131119 1159.5987                  27.170145                  402.29815                                   717.053                       13.077408
     11     570.07005 -0.68613271 2.9239488 0.91435164     1.0484841 0.022754745 0.11916015  0.06876967 0.99738919 0.20600003 1.8614648e-09 71.051211 0.28111565  0.1419149 0.71880148 0.24554075 0.24686779 2.5170046 8.9885763  0.7787328 0.92385269  0.41288678   0.56703481 1.8614648 1.6222667  13.50441 146.89647  1160.3873     -10.123616        -10.123616 1160.3873                  27.165555                  402.18567                                  717.8817                       13.154395
     22     568.51208 -0.64696034  2.924227 0.91423588     1.0484814 0.022755945 0.11915025 0.068873748 0.99742104 0.22544451 1.8619827e-09 71.054887 0.28106932 0.14190619 0.71884782 0.24554124 0.24686828  2.516789  8.997771 0.77856664 0.92363167  0.41276467   0.56689047 1.8619827 1.6223803 13.504327 146.89776  1157.2978     -10.136837        -10.136837 1157.2978                   27.26645                  402.26186                                 715.04056                       12.728971
      6     567.59738 -0.54494232 2.9350655 0.91467522     1.0484412 0.022648809 0.11944918 0.071423785  1.0000371 0.28513969 1.8822737e-09 70.841929 0.28314388 0.14209799 0.71677276 0.24550026 0.24682715 2.5357675 9.2676537 0.78395459 0.93142034  0.41715216   0.57186393 1.8822737 1.6317171 13.517374 146.93729  1156.5324      -10.66881         -10.66881 1156.5324                  27.367914                  403.92908                                 715.29136                       9.9440308
     26     566.21814 -0.68797377 2.9327462 0.91457949     1.0484492 0.022631081 0.11933293 0.070298443  1.0001496 0.20512861 1.8779132e-09 70.871424 0.28264151 0.14196401  0.7172752  0.2454939 0.24682077 2.5388634 9.1658006 0.78341075  0.9305805   0.4164928   0.57121357 1.8779132 1.6316051 13.518393 146.98757  1153.7705     -10.667129        -10.667129 1153.7705                  27.118863                  403.23292                                 711.83404                       11.584726
     10     565.42747   -0.629001 2.9416216 0.91835634     1.0484844 0.022670613 0.11918833 0.077880202 0.99769572 0.23496274 1.8946546e-09 70.969313 0.28165374 0.14185895  0.7182632  0.2455082 0.24683513 2.5319486 9.8440899 0.78703584 0.93424162  0.41768827   0.57335472 1.8946546 1.6213775 13.512837 146.98202  1151.3432     -10.244142        -10.244142 1151.3432                  26.441061                  407.88518                                 706.46665                       10.550341
     22     564.74079   -0.629001 2.9416216 0.91835634     1.0484844 0.022670613 0.11918833 0.077880202 0.99754408 0.23496274 1.8946546e-09 70.969313 0.28165374 0.14185895  0.7182632  0.2455082 0.24683513 2.5319486 9.8440899 0.78703584 0.93424162  0.41768827   0.57335472 1.8946546 1.6213775 13.512837 146.98202  1149.8544     -10.186398        -10.186398 1149.8544                  26.471873                  407.91182                                 704.99169                       10.478997
     16      564.0488   -0.629001 2.9416216 0.91835634     1.0484844 0.022670613 0.11918833 0.077880202 0.99738269 0.23496274 1.8946546e-09 70.969313 0.28165374 0.14185895  0.7182632  0.2455082 0.24683513 2.5319486 9.8440899 0.78703584 0.93424162  0.41768827   0.57335472 1.8946546 1.6213775 13.512837 146.98202  1148.3394     -10.120897        -10.120897 1148.3394                  26.504748                  407.92554                                 703.50466                       10.404454
      7     562.64437 -0.63735501 2.9428891 0.91903801      1.048521 0.022655225 0.11911146 0.078251365  0.9977811 0.23048623 1.8970576e-09 70.996459 0.28125536 0.14176669 0.71866164 0.24550258 0.24682948 2.5346453 9.8800837 0.78760221 0.93473516  0.41769313   0.57356432 1.8970576 1.6222293  13.51296 147.01941  1145.8388     -10.275037        -10.275037 1145.8388                  26.300708                  408.16359                                 700.92901                       10.445513
     14     562.91845 -0.62230128 2.9443953 0.91865129     1.0485185 0.022657656 0.11919841 0.078813673 0.99783273 0.23861554  1.899917e-09 70.966293 0.28167199 0.14185606 0.71824494 0.24550346 0.24683037 2.5342197 9.9315832 0.78830075 0.93576302  0.41837311    0.5742855  1.899917 1.6228484  13.51317 146.99369  1146.4232     -10.293156        -10.293156 1146.4232                  26.483979                  408.58584                                  701.2576                       10.095798
