#weight  minuslogpost     logGnu      logA         ns  theta_MC_100       ombh2      omch2         tau  A_planck         Gnu            As        H0     omegam   omegamh2   omega_de        YHe        Y_p     DHBBN       zre     sigma8       s8h5  s8omegamp5  s8omegamp25         A     clamp       age     rdrag  chi2__CMB  minuslogprior  minuslogprior__0      chi2  chi2__planck_2018_lowl.TT  chi2__planck_2018_lowl.EE  chi2__planck_2018_highl_plik.TTTEEE_lite  chi2__planck_2018_lensing.clik
      2     514.39515 -1.2994044 2.9468885 0.92275887     1.0479864 0.022339865 0.12156513 0.048494143 1.0007074  0.05018751 1.9046597e-09  69.67151 0.29645953 0.14390499 0.70345429 0.24538685 0.24671334 2.5912435 7.1133045 0.80767321  0.9676272   0.4397627   0.59597361 1.9046597 1.7286056  13.56999 146.72342  1050.0481     -10.628884        -10.628884 1050.0481                  27.799079                  395.70006                                 617.20727                       9.3416561
     21     514.37377 -1.2989348 2.9468778 0.92275972     1.0479861 0.022339856 0.12156454 0.048488891 1.0007081 0.050241796 1.9046393e-09 69.671601 0.29645751 0.14390439  0.7034563 0.24538685 0.24671333 2.5912454 7.1127404 0.80765526 0.96760506  0.43975143   0.59595936 1.9046393 1.7286053 13.569998 146.72358  1050.0051     -10.628807        -10.628807 1050.0051                  27.798919                  395.70006                                 617.16428                       9.3418921
     15     514.50247 -1.2989348 2.9468778 0.92275972     1.0479861 0.022339856 0.12156454 0.048488891 1.0007827 0.050241796 1.9046393e-09 69.671601 0.29645751 0.14390439  0.7034563 0.24538685 0.24671333 2.5912454 7.1127404 0.80765526 0.96760506  0.43975143   0.59595936 1.9046393 1.7286053 13.569998 146.72358  1050.2448     -10.619911        -10.619911 1050.2448                  27.782406                  395.69097                                 617.43086                       9.3405281
     71     513.65687 -1.2989348 2.9468778 0.92275972     1.0479861 0.022339856 0.12156454 0.048488891 1.0000819 0.050241796 1.9046393e-09 69.671601 0.29645751 0.14390439  0.7034563 0.24538685 0.24671333 2.5912454 7.1127404 0.80765526 0.96760506  0.43975143   0.59595936 1.9046393 1.7286053 13.569998 146.72358  1048.6505     -10.668383        -10.668383 1048.6505                  27.938226                  395.69443                                 615.65205                       9.3657992
     12     514.56588 -1.2989348 2.9468778 0.92275972     1.0479861 0.022339856 0.12156454 0.048488891 1.0008163 0.050241796 1.9046393e-09 69.671601 0.29645751 0.14390439  0.7034563 0.24538685 0.24671333 2.5912454 7.1127404 0.80765526 0.96760506  0.43975143   0.59595936 1.9046393 1.7286053 13.569998 146.72358   1050.363     -10.615609        -10.615609  1050.363                  27.774969                  395.69097                                 617.55703                       9.3400163
     40     514.24495 -1.2874122 2.9473736  0.9228236     1.0479844 0.022337427 0.12151877 0.048723296 1.0008894 0.051592651  1.905584e-09 69.685063 0.29624374  0.1438562 0.70367011 0.24538587 0.24671235 2.5917039 7.1374344 0.80743082 0.96724273  0.43947069   0.59568631  1.905584  1.728652 13.570107 146.73824  1049.7012     -10.605643        -10.605643 1049.7012                  27.775302                  395.69755                                 616.87701                       9.3513178
      5     514.46456  -1.279787 2.9422395 0.92221275     1.0479742 0.022342492 0.12164637 0.046105101 1.0007266 0.052506487 1.8958257e-09 69.641018 0.29689212 0.14398886 0.70302162 0.24538791  0.2467144 2.5907479 6.8583715 0.80539525 0.96510932  0.43884222   0.59450941 1.8958257 1.7288289 13.570411 146.69928  1050.1825     -10.626684        -10.626684 1050.1825                  27.860708                  395.75803                                 617.23523                       9.3285082
     12     516.66626  -1.279787 2.9422395 0.92221275     1.0479742 0.022342492 0.12164637 0.046105101 1.0019735 0.052506487 1.8958257e-09 69.641018 0.29689212 0.14398886 0.70302162 0.24538791  0.2467144 2.5907479 6.8583715 0.80539525 0.96510932  0.43884222   0.59450941 1.8958257 1.7288289 13.570411 146.69928  1054.0472     -10.357354        -10.357354 1054.0472                  27.586089                  395.75231                                 621.37308                       9.3357467
      3     516.02457 -1.2674699  2.942606 0.92205167     1.0479605 0.022345927 0.12161842 0.046344301 1.0019375 0.054016961 1.8965205e-09 69.649118 0.29677254 0.14396435 0.70314122 0.24538929 0.24671578 2.5901006  6.883057 0.80506788 0.96466093  0.43857549   0.59420791 1.8965205 1.7286354 13.570358 146.70278  1052.7863     -10.368599        -10.368599 1052.7863                  27.666423                  395.77708                                 620.03962                       9.3032094
     22     514.85236 -1.2674699  2.942606 0.92205167     1.0479605 0.022345927 0.12161842 0.046344301  1.000879 0.054016961 1.8965205e-09 69.649118 0.29677254 0.14396435 0.70314122 0.24538929 0.24671578 2.5901006  6.883057 0.80506788 0.96466093  0.43857549   0.59420791 1.8965205 1.7286354 13.570358 146.70278  1050.9189     -10.607103        -10.607103 1050.9189                  27.900431                  395.75607                                 617.92956                       9.3328576
     30     514.97212 -1.2647821 2.9426816 0.92207944     1.0479621 0.022346721 0.12160245 0.046377072 1.0009002 0.054352295 1.8966638e-09 69.655926 0.29668325 0.14394917 0.70323053  0.2453896  0.2467161  2.589951 6.8862091 0.80498361 0.96451282  0.43846361   0.59410102 1.8966638 1.7286527 13.570171 146.70608  1051.1524     -10.604087        -10.604087 1051.1524                  27.896555                  395.73586                                 618.18318                       9.3368093
      1     514.92901 -1.2905822 2.9412417 0.92251624     1.0480102 0.022345892 0.12149542 0.045522672 1.0011465 0.051217435 1.8939349e-09 69.709217 0.29600785 0.14384131 0.70390607 0.24538927 0.24671576 2.5901071 6.7928324 0.80484697 0.96398042   0.4378899   0.59366182 1.8939349 1.7291177  13.56842 146.73498  1050.9856     -10.563769        -10.563769 1050.9856                  27.686245                  395.83072                                 618.15574                       9.3128523
     68     514.93175 -1.2731989 2.9439845 0.92324273      1.048002  0.02238572 0.12113704 0.046662396 1.0017045 0.053309071 1.8991367e-09 69.866616 0.29402304 0.14352276 0.70589126 0.24540506 0.24673161 2.5826432 6.9027241 0.80428991  0.9622275  0.43611729   0.59225394 1.8991367  1.729919 13.563264  146.7847  1050.7365     -10.436492        -10.436492 1050.7365                  27.557863                  395.72206                                 618.24276                       9.2137962
     10     514.88766 -1.2731989 2.9439845 0.92324273      1.048002  0.02238572 0.12113704 0.046662396 1.0015015 0.053309071 1.8991367e-09 69.866616 0.29402304 0.14352276 0.70589126 0.24540506 0.24673161 2.5826432 6.9027241 0.80428991  0.9622275  0.43611729   0.59225394 1.8991367  1.729919 13.563264  146.7847  1050.7525     -10.488572        -10.488572 1050.7525                  27.602182                  395.72608                                 618.21093                       9.2132662
     33     514.70771 -1.2759292 2.9443641 0.92336493     1.0479976 0.022384659 0.12113037 0.046910587 1.0014711 0.052974984 1.8998578e-09 69.866557 0.29400769 0.14351503 0.70590661 0.24540464 0.24673119 2.5828408 6.9294053 0.80452549 0.96250975  0.43623364   0.59241969 1.8998578 1.7297171 13.563473 146.78762   1050.407       -10.4958          -10.4958  1050.407                  27.567302                  395.68534                                 617.93663                       9.2177521
      4     514.67841 -1.3074343 2.9453662 0.92387822     1.0479485 0.022378905 0.12122725 0.047071253 1.0017524 0.049268091 1.9017626e-09 69.810801  0.2946645 0.14360616 0.70524966 0.24540238 0.24672892 2.5839142 6.9489828  0.8062166 0.96491803  0.43763862   0.59399623 1.9017626  1.730895 13.565867 146.76863  1050.2033     -10.423254        -10.423254 1050.2033                  27.356178                  395.70229                                 617.83702                       9.3078336
     14     515.86482 -1.2537593 2.9523811 0.92258925     1.0479153  0.02229512 0.12152154 0.050253154 1.0018738 0.055749468 1.9151501e-09 69.624775 0.29667545 0.14381666 0.70323826 0.24536872 0.24669514 2.5997271 7.3075596 0.80871344 0.96919856   0.4404894   0.59684981 1.9151501 1.7320223 13.576337 146.78437  1052.5057     -10.388032        -10.388032 1052.5057                   27.94683                  395.72992                                 619.04609                       9.7828621
     15     515.05536 -1.3107585 2.9470313 0.92170799     1.0478586 0.022290923 0.12154622 0.048278022 1.0011581  0.04889242 1.9049319e-09 69.593314 0.29698601 0.14383714 0.70292761   0.245367 0.24669341 2.6005264 7.0999547 0.80778667 0.96830666  0.44021484   0.59632179 1.9049319 1.7296001 13.578509  146.7837   1051.234     -10.561618        -10.561618  1051.234                  28.063098                  395.69158                                 618.17307                        9.306212
     17     514.85657 -1.2630822 2.9514516 0.92135384      1.047775 0.022219607 0.12174086  0.04974394 1.0018129 0.054565458 1.9133709e-09  69.43624 0.29858697 0.14396046 0.70132627 0.24533767 0.24666398 2.6141598 7.2729537 0.80920107 0.97109865  0.44217264   0.59816936 1.9133709 1.7321764 13.588811 146.81071  1050.5251     -10.405992        -10.405992 1050.5251                  28.247433                  395.72257                                 616.73966                       9.8154532
